Date,Snow Water Equivalent (in) Start of Day Values
1998-10-29,1.1
1999-01-06,1.0
1999-01-25,0.9000000000000004
1999-02-06,0.9000000000000021
2000-01-11,0.9000000000000004
2000-01-19,1.3000000000000007
2000-02-11,1.5
2000-02-13,1.0999999999999996
2000-02-15,1.1999999999999993
2000-12-11,1.2000000000000002
2002-03-08,1.1999999999999993
2002-10-04,1.0
2003-04-24,1.9000000000000021
2003-11-04,0.9999999999999998
2003-11-11,1.1
2004-10-25,1.0
2004-12-09,1.0
2004-12-10,1.2999999999999998
2004-12-30,1.2000000000000002
2005-01-09,1.0
2005-01-10,1.1999999999999993
2005-01-11,1.200000000000001
2005-01-12,1.5999999999999996
2005-02-15,1.5
2005-04-29,1.1999999999999993
2005-06-03,1.2000000000000002
2005-06-05,1.0
2005-11-15,1.0
2005-12-02,1.0999999999999996
2005-12-03,1.0
2006-01-01,1.0
2006-10-21,1.0
2006-11-15,0.9000000000000004
2007-02-12,1.1000000000000014
2007-02-16,0.9000000000000004
2007-02-20,1.1000000000000014
2007-12-01,1.0
2007-12-02,1.3
2007-12-08,1.1
2008-01-06,1.4000000000000004
2008-01-12,0.9000000000000004
2008-12-23,0.9000000000000004
2009-01-08,1.8000000000000007
2009-01-24,1.1999999999999993
2009-01-25,1.0
2009-01-26,1.5
2009-04-01,1.3000000000000007
2009-10-12,1.0999999999999999
2009-12-14,1.5
2010-03-06,1.1000000000000014
2010-03-20,0.9000000000000021
2010-04-02,1.1000000000000014
2010-04-07,1.3999999999999986
2010-11-17,1.2999999999999998
2010-11-22,1.0
2010-12-19,0.9000000000000004
2010-12-20,1.4000000000000004
2010-12-21,1.0
2010-12-22,1.3000000000000007
2010-12-30,0.9999999999999982
2011-01-17,1.0
2011-02-06,1.0
2011-02-08,1.0
2011-04-19,1.6000000000000014
2011-05-21,0.9000000000000057
2011-11-13,1.2
2011-11-14,1.0000000000000002
2012-01-22,1.0
2012-02-22,1.799999999999999
2013-01-31,1.0999999999999996
2013-02-02,0.9000000000000004
2013-04-17,1.0
2013-11-17,1.2999999999999998
2014-01-14,1.1999999999999993
2014-01-30,1.0999999999999996
2014-02-09,1.1000000000000014
2014-11-26,1.5
2014-12-22,1.5999999999999996
2015-01-06,1.0
2015-02-04,1.0
2015-02-05,1.0999999999999996
2015-03-03,1.6999999999999993
2015-12-22,1.0
2016-01-31,0.9000000000000004
2016-04-25,1.2999999999999972
2016-05-08,0.9000000000000021
2016-05-09,1.3000000000000007
2016-12-17,1.9000000000000004
2017-01-03,1.0999999999999996
2017-01-05,1.3000000000000007
2017-01-09,1.1999999999999993
2017-01-10,1.1999999999999993
2017-01-11,0.9000000000000021
2017-01-12,1.5999999999999979
2017-02-09,1.1000000000000014
2017-02-28,0.9000000000000021
2017-04-25,1.0
2017-04-27,1.0
2017-11-06,1.0
2017-11-18,1.2000000000000002
2018-04-07,1.1999999999999993
2018-11-05,1.0
2019-01-07,1.3000000000000007
2019-01-18,0.9000000000000004
2019-02-14,0.9000000000000004
2019-02-15,1.3000000000000007
2019-03-03,1.0
2019-03-07,1.4000000000000021
2019-03-09,1.1000000000000014
2019-05-01,1.1999999999999993
2019-06-22,1.1
2020-01-02,1.3000000000000007
2020-02-07,0.9000000000000004
2020-02-08,1.5
2020-02-17,1.0
2020-04-16,1.1000000000000014
